"damage","rifle","sniper","pistol","smg","grenade","preplant.kill","postplant.kill","total.kills","total.deaths","avg.kill.time","assists","alone.kills","Avg.Distance.to.A.bomb..on.kill.","alone_death","total_distance_traveled","Role"
484,4,0,1,0,0,5,0,5,12,439.6125,7,1,370.0112491,4,6218.423617,"2"
1598,14,0,0,2,0,15,1,16,10,125.8998133,19,6,145.4075125,5,6090.054478,"4"
177,0,0,0,0,0,0,0,0,4,0,3,0,0,1,1252.313768,"1"
955,5,1,2,2,0,10,0,10,12,202.9992667,12,1,229.625639,3,5868.250302,"2"
1239,2,5,2,0,1,10,1,11,15,146.26579,7,6,123.9714102,6,8078.849354,"1"
1227,8,2,0,2,0,12,0,12,5,128.5021273,11,5,88.84740285,4,3794.581459,"0"
555,5,0,0,0,0,5,0,5,8,238.783275,6,0,268.7325633,1,2258.388424,"0"
584,1,3,1,0,0,4,1,5,6,282.775175,8,1,189.8920904,2,3581.795393,"3"
560,3,0,1,1,0,3,3,6,5,219.91274,5,4,163.020969,3,3309.985182,"2"
315,2,0,2,0,0,4,0,4,7,260.8782333,4,0,141.6116038,2,2616.616381,"0"
485,1,0,0,0,0,1,0,1,8,0,7,0,0,1,2136.122181,"1"
1063,6,3,0,1,0,10,1,11,7,139.7209,10,4,131.2562102,2,4625.367775,"0"
623,5,0,1,0,0,5,1,6,4,231.06462,7,2,116.0099595,1,3126.155224,"0"
524,5,0,0,0,0,4,2,6,7,378.08718,6,3,373.0008654,0,5087.941897,"4"
645,2,3,0,0,0,8,0,8,5,210.3994286,7,3,242.1760405,2,3981.577521,"2"
1158,9,1,1,0,0,10,1,11,5,216.54002,14,5,213.7636159,1,2493.756683,"2"
822,2,3,2,0,0,6,1,7,5,369.1687667,7,0,324.3856068,2,3221.701411,"2"
1096,3,6,0,0,1,8,2,10,6,240.4053667,9,4,216.6407428,1,2947.54911,"3"
243,3,0,0,0,0,3,0,3,9,1094.9626,5,0,1167.91792,4,4599.408346,"2"
685,6,0,0,1,0,7,0,7,9,233.8763333,10,1,258.0304317,2,2842.042545,"2"
979,5,4,1,0,0,8,2,10,7,149.4631,9,4,118.4392503,2,4179.496721,"0"
